developer-agreement,organisation,entry-date,start-date,end-date,planning-application,document-url,developer-agreement-type,
0146/18/FUL-IFSDA,local-authority-eng:SHA,20/12/2019,2019-12-20,2019-12-20,0146/18/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/180146,S106,
0548/20/FUL-IFSDA,local-authority-eng:SHA,12/02/2020,2020-02-12,2020-02-12,0548/20/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/200548 ,S106,
1468/19/FUL-IFSDA,local-authority-eng:SHA,21/11/2019,2019-11-21,2019-11-21,1468/19/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/191468,S106,
1554/17/OPA-IFSDA,local-authority-eng:SHA,11/03/2020,2020-03-11,2020-03-11,1554/17/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/171554,S106,
1954/18/OPA-IFSDA,local-authority-eng:SHA,19/06/2019,2019-06-19,2019-06-19,1954/18/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/181954,S106,
2101/19/FUL-IFSDA,local-authority-eng:SHA,26/02/2020,2020-02-26,2020-02-26,2101/19/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/192101,Unilateral Undertaking,
2574/16/OPA-IFSDA,local-authority-eng:SHA,17/05/2019,2019-05-17,2019-05-17,2574/16/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/162627  ,S106,
2873/18/FUL-IFSDA,local-authority-eng:SHA,01/04/2019,2019-04-01,2019-04-01,2873/18/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/182873 ,S106,
3138/17/OPA-IFSDA,local-authority-eng:SHA,28/08/2019,2019-08-28,2019-08-28,3138/17/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/173138,S106,
3475/17/OPA-IFSDA,local-authority-eng:SHA,02/05/2019,2019-05-02,2019-05-02,3475/17/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/173475,S106,
3552/18/FUL-IFSDA,local-authority-eng:SHA,16/03/2020,2020-03-16,2020-03-16,3552/18/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/183552,S106,
3743/18/FUL-IFSDA,local-authority-eng:SHA,21/11/2019,2019-11-21,2019-11-21,3743/18/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/183743 ,S106,
4302/17/OPA-IFSDA,local-authority-eng:SHA,17/12/2019,2019-12-17,2019-12-17,4302/17/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/174302 ,S106, 
