row-number,field,issue-type,value
1,organisation,default,local-authority-eng:NLN
2,organisation,default,local-authority-eng:NLN
3,organisation,default,local-authority-eng:NLN
4,organisation,default,local-authority-eng:NLN
5,organisation,default,local-authority-eng:NLN
6,organisation,default,local-authority-eng:NLN
7,organisation,default,local-authority-eng:NLN
8,organisation,default,local-authority-eng:NLN
9,organisation,default,local-authority-eng:NLN
10,organisation,default,local-authority-eng:NLN
11,organisation,default,local-authority-eng:NLN
12,organisation,default,local-authority-eng:NLN
13,organisation,default,local-authority-eng:NLN
14,organisation,default,local-authority-eng:NLN
15,organisation,default,local-authority-eng:NLN
16,organisation,default,local-authority-eng:NLN
17,organisation,default,local-authority-eng:NLN
18,organisation,default,local-authority-eng:NLN
19,organisation,default,local-authority-eng:NLN
20,organisation,default,local-authority-eng:NLN
21,organisation,default,local-authority-eng:NLN
22,organisation,default,local-authority-eng:NLN
23,organisation,default,local-authority-eng:NLN
24,organisation,default,local-authority-eng:NLN
25,organisation,default,local-authority-eng:NLN
26,organisation,default,local-authority-eng:NLN
27,organisation,default,local-authority-eng:NLN
28,organisation,default,local-authority-eng:NLN
29,organisation,default,local-authority-eng:NLN
30,organisation,default,local-authority-eng:NLN
31,organisation,default,local-authority-eng:NLN
32,organisation,default,local-authority-eng:NLN
33,organisation,default,local-authority-eng:NLN
34,organisation,default,local-authority-eng:NLN
35,organisation,default,local-authority-eng:NLN
36,organisation,default,local-authority-eng:NLN
37,organisation,default,local-authority-eng:NLN
38,organisation,default,local-authority-eng:NLN
39,organisation,default,local-authority-eng:NLN
40,organisation,default,local-authority-eng:NLN
41,organisation,default,local-authority-eng:NLN
42,organisation,default,local-authority-eng:NLN
43,organisation,default,local-authority-eng:NLN
44,organisation,default,local-authority-eng:NLN
45,organisation,default,local-authority-eng:NLN
46,organisation,default,local-authority-eng:NLN
47,organisation,default,local-authority-eng:NLN
48,organisation,default,local-authority-eng:NLN
49,organisation,default,local-authority-eng:NLN
50,organisation,default,local-authority-eng:NLN
51,organisation,default,local-authority-eng:NLN
52,organisation,default,local-authority-eng:NLN
53,organisation,default,local-authority-eng:NLN
54,organisation,default,local-authority-eng:NLN
55,organisation,default,local-authority-eng:NLN
56,organisation,default,local-authority-eng:NLN
57,organisation,default,local-authority-eng:NLN
58,organisation,default,local-authority-eng:NLN
59,organisation,default,local-authority-eng:NLN
60,organisation,default,local-authority-eng:NLN
61,organisation,default,local-authority-eng:NLN
62,organisation,default,local-authority-eng:NLN
63,organisation,default,local-authority-eng:NLN
64,organisation,default,local-authority-eng:NLN
65,organisation,default,local-authority-eng:NLN
