contribution-purpose,developer-agreement-type,end-date,entry-date,name,start-date,slug
affordable-housing,,,2018-12-04,Affordable housing,2018-12-04,/contribution-purpose/affordable-housing
bonds,,,2019-05-07,Bonds,2019-05-07,/contribution-purpose/bonds
cil-administration-costs,,,2019-03-27,CIL administration costs,2019-03-27,/contribution-purpose/cil-administration-costs
community-facilities,,,2018-12-04,Community facilities,2018-12-04,/contribution-purpose/community-facilities
community-infrastructure-levy,,,2018-12-04,Community infrastructure levy,2018-12-04,/contribution-purpose/community-infrastructure-levy
digital-infrastructure,,,2019-05-07,Digital infrastructure,2019-05-07,/contribution-purpose/digital-infrastructure
economic-development,,,2019-03-27,Economic development,2019-03-27,/contribution-purpose/economic-development
education,,,2018-12-04,Education,2018-12-04,/contribution-purpose/education
flood,,2019-05-07,2019-03-27,Flood,2019-03-27,/contribution-purpose/flood
flood-and-water-management,,,2019-05-07,Flood and water management,2019-05-07,/contribution-purpose/flood-and-water-management
green-infrastructure,,,2018-12-04,Green infrastructure,2018-12-04,/contribution-purpose/green-infrastructure
health,,,2018-12-04,Health,2018-12-04,/contribution-purpose/health
highways,,,2018-12-04,Highways,2018-12-04,/contribution-purpose/highways
land,,,2019-05-07,Land,2019-05-07,/contribution-purpose/land
mayoral-community-infrastructure-levy,,,2019-03-27,Mayoral Community Infrastructure Levy,2019-03-27,/contribution-purpose/mayoral-community-infrastructure-levy
monitoring-fees,,,2019-03-27,Monitoring fees,2019-03-27,/contribution-purpose/monitoring-fees
neighbourhood-community-infrastructure-levy,,,2019-05-07,Neighbourhood Community Infrastructure Levy,2019-05-07,/contribution-purpose/neighbourhood-community-infrastructure-levy
open-space,,2019-03-27,2018-12-04,Open space,2018-12-04,/contribution-purpose/open-space
open-space-and-leisure,,,2019-03-27,Open space and leisure,2019-03-27,/contribution-purpose/open-space-and-leisure
other,,,2018-12-04,Other,2018-12-04,/contribution-purpose/other
transport,,2019-05-07,2018-12-04,Transport,2018-12-04,/contribution-purpose/transport
transport-and-travel,,,2019-05-07,Transport and travel,2019-05-07,/contribution-purpose/transport-and-travel
